Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,28,E+,2,Ground,29,E+,1,48307.7735158708,1.60248600841934E-9,8160981.09759017,8112673.3240743,0.00153065878098407,1.05709965202225E-10,0,"sP0,29(29)",v=0 28  2 26 - v=0 29  0 29
AsymmetricTop,Ground,38,E+,4,Ground,39,E+,3,49524.8414810523,1.82635380308097E-9,16015291.2657105,15965766.4242294,0.00583044981675407,3.21175162585683E-10,0,"sP4,35(39)",v=0 38  6 32 - v=0 39  4 35
AsymmetricTop,Ground,42,E+,3,Ground,41,E+,4,51198.1191820577,1.92939854056322E-9,18397079.1211028,18345881.0019208,0.00843522344719894,4.6505146889956E-10,0,"oR6,35(41)",v=0 42  4 38 - v=0 41  6 35
AsymmetricTop,Ground,61,O+,4,Ground,61,O-,4,51450.8113861755,3.41763891676238E-9,39001179.2751121,38949728.4637259,0.399585584268637,1.54505064026118E-8,0,"qQ7,55(61)",v=0 61  7 54 - v=0 61  7 55
AsymmetricTop,Ground,25,O+,2,Ground,25,O-,2,53747.0186263602,3.06965626838905E-7,6749869.57938003,6696122.56075366,0.188917124352921,2.00828627431599E-8,0,"qQ3,23(25)",v=0 25  3 22 - v=0 25  3 23
AsymmetricTop,Ground,34,O+,2,Ground,33,O+,3,53935.7319542523,5.41958988080778E-9,12079166.440362,12025230.7084078,0.00776884116406592,6.16876485541949E-10,0,"oR5,28(33)",v=0 34  3 31 - v=0 33  5 28
AsymmetricTop,Ground,52,E+,4,Ground,52,E-,3,54998.6410528235,1.8280918281612E-8,28442838.6462432,28387840.0051904,0.345370756260235,1.91079225601482E-8,0,"qQ6,47(52)",v=0 52  6 46 - v=0 52  6 47
AsymmetricTop,Ground,17,E+,2,Ground,17,E-,1,55486.1229631859,3.93503907508824E-7,3179507.72696707,3124021.60400389,0.128337924994003,2.18726519650757E-8,0,"qQ2,16(17)",v=0 17  2 15 - v=0 17  2 16
AsymmetricTop,Ground,3,O-,1,Ground,2,O-,1,56179.091044943,4.5296416105201E-6,159330.111044943,103151.02,0.888862593045261,7.86180102601873E-7,0,"qR1,2(2)",v=0  3  1  3 - v=0  2  1  2
AsymmetricTop,Ground,6,E+,2,Ground,7,E+,1,56384.5579142605,5.71602123278844E-9,593471.7385396,537087.18062534,0.00119357312983585,5.74708411700014E-10,0,"sP0,7(7)",v=0  6  2  4 - v=0  7  0  7
AsymmetricTop,Ground,34,E+,3,Ground,34,E-,2,57109.0163420867,1.80649559009171E-7,12317695.6072217,12260586.5908796,0.239901088070027,2.26130165336963E-8,0,"qQ4,31(34)",v=0 34  4 30 - v=0 34  4 31
AsymmetricTop,Ground,43,O+,3,Ground,43,O-,3,57157.5816235468,6.92904500862809E-8,19548501.3548969,19491343.7732734,0.292077063424357,2.18907716278482E-8,0,"qQ5,39(43)",v=0 43  5 38 - v=0 43  5 39
AsymmetricTop,Ground,3,E+,1,Ground,2,E+,1,57714.2926764614,5.41545510616798E-6,115482.807147568,57768.5144711067,0.99974365209104,9.58742724840167E-7,0,"qR0,2(2)",v=0  3  0  3 - v=0  2  0  2
AsymmetricTop,Ground,3,E-,1,Ground,2,E-,1,57786.6,2.92756778166798E-6,303416.08,245629.48,0.555555555555555,5.3477637903767E-7,0,"qR2,1(2)",v=0  3  2  2 - v=0  2  2  1
AsymmetricTop,Ground,3,E+,2,Ground,2,E+,2,57858.9073235386,2.93487389368857E-6,303506.472852432,245647.565528893,0.555555658348039,5.36786459237967E-7,0,"qR2,0(2)",v=0  3  2  1 - v=0  2  2  0
AsymmetricTop,Ground,10,O+,1,Ground,10,O-,1,58203.7513247621,3.04572680253423E-7,1133363.54516549,1075159.79384073,0.0650595239479947,2.13307364445778E-8,0,"qQ1,10(10)",v=0 10  1  9 - v=0 10  1 10
AsymmetricTop,Ground,20,O+,1,Ground,19,O+,2,58771.297441937,2.2332689925138E-8,4162178.13171207,4103406.83427013,0.00759526790360858,1.31315626252833E-9,0,"oR3,16(19)",v=0 20  1 19 - v=0 19  3 16
AsymmetricTop,Ground,3,O+,1,Ground,2,O+,1,59371.4989150371,5.05518985524863E-6,165715.118915037,106343.62,0.88886168388622,9.27964835985526E-7,0,"qR1,1(2)",v=0  3  1  2 - v=0  2  1  1
AsymmetricTop,Ground,36,O+,1,Ground,35,O+,2,60203.9163119253,3.72428067093011E-9,12829863.0491601,12769659.1328481,0.00482917949103885,5.04064429288545E-10,0,"oR3,32(35)",v=0 36  1 35 - v=0 35  3 32
