name,smiles,formula,frequency,catalog_frequency,catalog_intensity,deviation,intensity,uncertainty,S,peak_id,experiment,uline,composition,v_qnos,r_qnos,fit,ustate_energy,lstate_energy,interference,weighting,source,public,velocity,discharge,magnet,multiple,final
"benzonitrile, v21",,c7h5n,7777.51,7777.4752,-3.3779,-0.03480000000035943,7.28,0.001,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=3     2, J''=2",{},0.6614286478014066,0.402,False,0.0,Catalog,True,0.0,False,False,"[benzonitrile, v15, 7,777.4054]",False
"benzonitrile, v21",,c7h5n,7778.13,7778.1084,-2.4747,-0.021600000000034925,49.68,0.0004,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=3     2, J''=2",{},0.6614497690799146,0.402,False,0.0,Catalog,True,0.0,False,False,"[benzonitrile, v15, 7,778.0318]",False
"benzonitrile, v21",,c7h5n,7778.420588595659,7778.4838,-2.3144,0.06321140434101835,91.19363984865399,0.0004,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=4     2, J''=2",{},0.6614622910760484,0.402,False,0.0,Catalog,True,0.0,False,False,[],True
"benzonitrile, v21",,c7h5n,7779.47,7779.4704,-3.3777,0.0003999999998995918,6.02,0.0013,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=2     2, J''=2",{},0.6614952005096806,0.402,False,0.0,Catalog,True,0.0,False,False,[],True
3-phenylprop-2-ynenitrile,,c9h5n,7786.187972365209,7786.169,-2.1497,-0.018972365209265263,6.284296207560936,0.0004,0.0,0,6000,False,[],[],"N'=7, J'=6 - N''=8     6, J''=5",{},1.20991864175449,0.9502,False,0.0,Catalog,True,0.0,False,False,[],True
"buta-1,3-diynylbenzene",,c10h6,7814.63035926775,7814.6283,-3.0967,-0.002059267749245919,35.64525829475305,0.0004,0.0,0,6000,False,[],[],"N'=7, J'=6 - N''=6, J''=5",{},1.2140679418199374,0.9534,False,0.0,Catalog,True,0.0,False,False,"[buta_1,3_diynylbenzene, 7,814.6305]",False
"1,2,3,4,5,6-heptahexaene-1,1,7-trienyl radical",,c7h,7871.099075248132,7871.0921,-1.4359,-0.006975248132221168,18.018497400671166,0.0012,0.0,0,6000,False,[],[],"N'=5, J'=5 - N''=5     4, J''=4",{},0.7005513714557823,0.438,False,0.0,Catalog,True,0.0,False,False,"[2-phenylacetonitrile, 7,871.2306, Artifact, 7,871.0938]",False
"hepta-2,4,6-triynenitrile",,c7hn,7896.006217623983,7896.0223,-1.5758,0.01608237601703877,12.387603661157511,0.0002,0.0,0,6000,False,[],[],"N'=7.0, J'=nan - N''=6.0, J''=nan",{},1.0535829534163932,0.7902,False,0.0,Catalog,True,0.0,False,False,[],True
2-phenylacetonitrile,,c8h7n,7947.090761905932,7947.1695,-5.348,0.07873809406828514,12.586333944004473,0.1409,0.0,0,6000,False,[],[],"N'=13, J'=11 - N''=13    13, J''=12",{},6.467189040365385,6.2021,False,0.0,Catalog,True,0.0,False,False,"[penta-2,4-diynal, 7,947.0717]",False
"hex-1-ene-3,5-diyne",,c6h4,7985.69,7985.7085,-3.2915,0.018500000000130967,7.285,0.0008,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=2, J''=2",{},1.8354745630318692,1.5691,False,0.0,Catalog,True,0.0,False,False,[],True
